date,home_team,away_team,home,away,total,margin,ot
2000-11-09,Kansas,UCLA,99,98,197,1,False
2000-11-09,St. John's (NY),Kentucky,62,61,123,1,False
2000-11-10,UNC,Winthrop,66,61,127,5,False
2000-11-10,St. John's (NY),Kansas,74,82,156,-8,False
2000-11-10,UCLA,Kentucky,97,92,189,5,False
2000-11-10,Tulsa,Arizona State,69,67,136,2,False
2000-11-11,UNC,Tulsa,91,81,172,10,False
2000-11-11,Arizona State,Winthrop,76,68,144,8,False
2000-11-13,California,Mississippi State,83,76,159,7,False
2000-11-13,New Mexico,George Mason,79,68,147,11,False
2000-11-13,Temple,Delaware,56,49,105,7,False
2000-11-13,Texas,Navy,79,65,144,14,False
2000-11-14,Duke,Princeton,87,50,137,37,False
2000-11-14,Indiana,Pepperdine,80,68,148,12,False
2000-11-14,Marquette,South Alabama,54,67,121,-13,False
2000-11-14,Villanova,Fairfield,101,85,186,16,False
2000-11-15,Temple,New Mexico,61,49,110,12,False
2000-11-15,Texas,California,57,54,111,3,False
2000-11-16,Wake Forest,Mount St. Mary's,108,61,169,47,False
2000-11-16,Air Force,Houston,59,53,112,6,False
2000-11-16,Austin Peay,Jackson State,85,63,148,22,False
2000-11-17,Duke,Villanova,98,85,183,13,False
2000-11-17,Kansas,North Dakota,92,61,153,31,False
2000-11-17,Appalachian State,UNC,69,99,168,-30,False
2000-11-17,Illinois,Maine,86,57,143,29,False
2000-11-17,Tennessee,Chattanooga,88,66,154,22,False
2000-11-17,Seton Hall,Rider,104,76,180,28,False
2000-11-17,Florida State,Florida,70,85,155,-15,False
2000-11-17,Utah,Idaho State,71,65,136,6,False
2000-11-17,UConn,Quinnipiac,86,72,158,14,False
2000-11-17,Arkansas,Tennessee State,90,68,158,22,False
2000-11-17,Wake Forest,Air Force,84,44,128,40,False
2000-11-17,Oklahoma,Alcorn State,75,56,131,19,False
2000-11-17,DePaul,Lewis,87,80,167,7,False
2000-11-17,Virginia,LIU,96,50,146,46,False
2000-11-17,Alabama A&M,Jacksonville State,74,71,145,3,False
2000-11-17,Alabama State,Birmingham-Southern,78,69,147,9,False
2000-11-17,Arizona State,Southern Utah,94,72,166,22,False
2000-11-17,Auburn,Florida A&M,87,52,139,35,False
2000-11-17,Buffalo,Niagara,76,80,156,-4,False
2000-11-17,UC-Irvine,Howard,71,47,118,24,False
